Period,PrivatePublicSecLiabilities,M1Growth,M1GrowthRate,GrowthStatusM1
1999-10,391250,682,0.174313099041534,Growth
1999-09,390568,4563,1.16829847811393,Growth
1999-08,386005,3064,0.79377210139765,Growth
1999-07,382941,-5479,-1.43076870849556,Decline
1999-06,388420,15856,4.08217908449616,Growth
1999-05,372564,3541,0.95044072964645,Growth
1999-04,369023,-5138,-1.39232513962544,Decline
1999-03,374161,11668,3.11844366462566,Growth
1999-02,362493,2542,0.701254920784677,Growth
1999-01,359951,6031,1.67550583273834,Growth
1998-12,353920,-15062,-4.25576401446655,Decline
1998-11,368982,10088,2.73400870503168,Growth
1998-10,358894,-996,-0.277519267527459,Decline
1998-09,359890,11120,3.08983300452916,Growth
1998-08,348770,-4085,-1.17125899589988,Decline
1998-07,352855,-7948,-2.252483314676,Decline
1998-06,360803,9315,2.581741282639,Growth
1998-05,351488,8910,2.5349371813547,Growth
1998-04,342578,-8962,-2.61604656457799,Decline
1998-03,351540,16149,4.59378733572282,Growth
1998-02,335391,3758,1.12048325685543,Growth
